Start Time,Mean Abs Value,Duration,Calculated Speed
0.1039740000000001,0.08003487903989998,0.5078730000000005,15.365474360716147
0.6118470000000006,0.07832105393798754,0.5218694999999994,14.953373515792757
1.1337165,0.07583984699636367,0.538532,14.490707256021926
1.6722485,0.0729443977944099,0.5565275000000003,14.022145464509832
2.2287760000000003,0.07044687534734193,0.5751895,13.567197523598743
2.8039655000000003,0.06729306968549888,0.5971839999999999,13.067512793376917
3.4011495000000003,0.06464594342763637,0.6251769999999994,12.482400280240647
4.0263265,0.0621015016276103,0.6485045000000005,12.033393075915424
4.674831,0.059216350992346366,0.6831625000000008,11.422918500356783
5.357993500000001,0.05601641069583141,0.7211529999999993,10.821156620023778
6.0791465,0.053383534544409104,0.7591434999999995,10.279623760198177
6.83829,0.04995581292586186,0.8124635000000007,9.604997098331179
